sample_id,lang_a,lang_b,pair,label_a,label_b,prob_a,prob_b,label_disagreement,confidence_distance
0,en,hi,en-hi,contradiction,contradiction,0.9862959502383118,0.9379824410855171,0.0,0.048313509152794754
0,en,zh,en-zh,contradiction,neutral,0.9862959502383118,0.9598083079306555,1.0,0.026487642307656323
0,en,fr,en-fr,contradiction,contradiction,0.9862959502383118,0.9532481123645359,0.0,0.033047837873775965
0,en,de,en-de,contradiction,contradiction,0.9862959502383118,0.9597852920645789,0.0,0.026510658173732993
0,en,ar,en-ar,contradiction,contradiction,0.9862959502383118,0.9426201082804707,0.0,0.04367584195784113
0,en,es,en-es,contradiction,contradiction,0.9862959502383118,0.983811524822263,0.0,0.0024844254160488743
0,en,th,en-th,contradiction,contradiction,0.9862959502383118,0.963377036107574,0.0,0.022918914130737877
0,en,tr,en-tr,contradiction,entailment,0.9862959502383118,0.9360468433538853,1.0,0.05024910688442652
0,en,vi,en-vi,contradiction,contradiction,0.9862959502383118,0.97696830184475,0.0,0.009327648393561816
0,en,sw,en-sw,contradiction,contradiction,0.9862959502383118,0.9847099625268851,0.0,0.0015859877114267062
1,en,hi,en-hi,neutral,contradiction,0.9683930493311332,0.9142544914259033,1.0,0.05413855790522992
1,en,zh,en-zh,neutral,neutral,0.9683930493311332,0.9561731855370476,0.0,0.012219863794085684
1,en,fr,en-fr,neutral,neutral,0.9683930493311332,0.9781227247738846,0.0,0.009729675442751384
1,en,de,en-de,neutral,neutral,0.9683930493311332,0.9658309013157963,0.0,0.0025621480153369403
1,en,ar,en-ar,neutral,neutral,0.9683930493311332,0.9680769938546869,0.0,0.0003160554764463086
1,en,es,en-es,neutral,neutral,0.9683930493311332,0.9450855030015967,0.0,0.023307546329536577
1,en,th,en-th,neutral,neutral,0.9683930493311332,0.9587589710014304,0.0,0.009634078329702866
1,en,tr,en-tr,neutral,contradiction,0.9683930493311332,0.978681223074546,1.0,0.010288173743412732
1,en,vi,en-vi,neutral,contradiction,0.9683930493311332,0.9213575491915149,1.0,0.047035500139618325
1,en,sw,en-sw,neutral,neutral,0.9683930493311332,0.9667005087200901,0.0,0.0016925406110431807
2,en,hi,en-hi,neutral,contradiction,0.9777368277871878,0.942083977057698,1.0,0.03565285072948987
2,en,zh,en-zh,neutral,contradiction,0.9777368277871878,0.9394555685470293,1.0,0.03828125924015857
2,en,fr,en-fr,neutral,neutral,0.9777368277871878,0.9859241697016087,0.0,0.008187341914420831
2,en,de,en-de,neutral,contradiction,0.9777368277871878,0.9108624942410728,1.0,0.06687433354611505
2,en,ar,en-ar,neutral,neutral,0.9777368277871878,0.9302459688438032,0.0,0.04749085894338467
2,en,es,en-es,neutral,neutral,0.9777368277871878,0.9892751165513026,0.0,0.011538288764114779
2,en,th,en-th,neutral,neutral,0.9777368277871878,0.9551852916248743,0.0,0.022551536162313535
2,en,tr,en-tr,neutral,contradiction,0.9777368277871878,0.9452977614577689,1.0,0.03243906632941895
2,en,vi,en-vi,neutral,contradiction,0.9777368277871878,0.9549299300399374,1.0,0.02280689774725042
2,en,sw,en-sw,neutral,neutral,0.9777368277871878,0.9885641161985419,0.0,0.010827288411354052
3,en,hi,en-hi,neutral,neutral,0.9604423769607515,0.9593021768167089,0.0,0.0011402001440425913
3,en,zh,en-zh,neutral,neutral,0.9604423769607515,0.9717181359118245,0.0,0.011275758951073023
3,en,fr,en-fr,neutral,neutral,0.9604423769607515,0.9706774348106701,0.0,0.010235057849918627
3,en,de,en-de,neutral,neutral,0.9604423769607515,0.9688079635638862,0.0,0.00836558660313469
3,en,ar,en-ar,neutral,neutral,0.9604423769607515,0.9675423705588073,0.0,0.007099993598055798
3,en,es,en-es,neutral,neutral,0.9604423769607515,0.9660172863205181,0.0,0.005574909359766567
3,en,th,en-th,neutral,neutral,0.9604423769607515,0.9631774157215081,0.0,0.0027350387607565363
3,en,tr,en-tr,neutral,neutral,0.9604423769607515,0.9838262864877546,0.0,0.02338390952700309
3,en,vi,en-vi,neutral,neutral,0.9604423769607515,0.977146202262717,0.0,0.016703825301965458
3,en,sw,en-sw,neutral,neutral,0.9604423769607515,0.9514409304982157,0.0,0.009001446462535867
4,en,hi,en-hi,neutral,neutral,0.9633285838040948,0.9676718440568114,0.0,0.004343260252716585
4,en,zh,en-zh,neutral,neutral,0.9633285838040948,0.9718770749041327,0.0,0.008548491100037858
4,en,fr,en-fr,neutral,neutral,0.9633285838040948,0.974770102016793,0.0,0.011441518212698232
4,en,de,en-de,neutral,neutral,0.9633285838040948,0.9830482131332222,0.0,0.01971962932912741
4,en,ar,en-ar,neutral,neutral,0.9633285838040948,0.9684338672535389,0.0,0.0051052834494440535
4,en,es,en-es,neutral,neutral,0.9633285838040948,0.9184670413939815,0.0,0.04486154241011331
4,en,th,en-th,neutral,neutral,0.9633285838040948,0.9763411269422325,0.0,0.013012543138137711
4,en,tr,en-tr,neutral,neutral,0.9633285838040948,0.9716782246398195,0.0,0.008349640835724648
4,en,vi,en-vi,neutral,neutral,0.9633285838040948,0.9681659882745854,0.0,0.004837404470490636
4,en,sw,en-sw,neutral,neutral,0.9633285838040948,0.9750503371849584,0.0,0.011721753380863564
5,en,hi,en-hi,contradiction,contradiction,0.9441354723333423,0.9038311598731625,0.0,0.040304312460179736
5,en,zh,en-zh,contradiction,contradiction,0.9441354723333423,0.9137408353434384,0.0,0.030394636989903856
5,en,fr,en-fr,contradiction,contradiction,0.9441354723333423,0.9325406663112589,0.0,0.011594806022083404
5,en,de,en-de,contradiction,contradiction,0.9441354723333423,0.9786716588603859,0.0,0.0345361865270436
5,en,ar,en-ar,contradiction,neutral,0.9441354723333423,0.959103658663231,1.0,0.014968186329888722
5,en,es,en-es,contradiction,contradiction,0.9441354723333423,0.9452493635975173,0.0,0.0011138912641750487
5,en,th,en-th,contradiction,contradiction,0.9441354723333423,0.9407665550683063,0.0,0.0033689172650359644
5,en,tr,en-tr,contradiction,neutral,0.9441354723333423,0.9663442280053905,1.0,0.022208755672048275
5,en,vi,en-vi,contradiction,neutral,0.9441354723333423,0.9351765249515284,1.0,0.008958947381813909
