prompt_id,language,semantic_similarity,entity_change_rate,lexical_overlap,response_length_variance
0,ar,0.8417000770568848,0.0,0.2023303085803086,16.24
0,en,0.926672101020813,0.25,0.2595214457808378,11.440000000000001
0,es,0.7111133933067322,0.25,0.18818559067305263,17.439999999999998
0,hi,0.9027069211006165,,0.4437074829931973,2.1599999999999997
1,ar,0.8551053404808044,,0.3156004140786749,2.8
1,en,0.836104154586792,0.0,0.38324915824915823,4.8
1,es,0.8476241230964661,0.25,0.5263469638469639,4.8
1,hi,0.8881931304931641,,0.3023515203182723,13.2
2,ar,0.8572239875793457,0.5,0.4209241854636592,2.2399999999999998
2,en,0.8437670469284058,1.0,0.19130828915555462,30.8
2,es,0.7367688417434692,0.5,0.2918963273943248,10.24
2,hi,0.909710168838501,0.75,0.5237938286718775,5.359999999999999
3,ar,0.884656548500061,0.0,0.5308977567667779,12.559999999999999
3,en,0.7442401051521301,0.25,0.5371637877436272,4.640000000000001
3,es,0.7572667002677917,0.25,0.29034603223174216,80.24000000000001
3,hi,0.9290502071380615,0.0,0.7677415177415177,17.44
4,ar,0.8248165249824524,0.0,0.5107129611066559,51.760000000000005
4,en,0.7576355934143066,1.0,0.41173764759830334,10.24
4,es,0.9470049738883972,0.0,0.6780359453522313,2.96
4,hi,0.8853931427001953,0.0,0.5357286634460547,18.96
5,ar,0.9644736647605896,0.0,0.5877705627705627,40.559999999999995
5,en,0.9447082877159119,0.0,0.3858245920745921,213.35999999999999
5,es,0.8670511841773987,0.25,0.5072776837258545,55.44
5,hi,0.9338017106056213,0.0,0.3265039996701303,1.04
6,ar,0.7335346341133118,0.0,0.26058319039451117,2.1599999999999997
6,en,0.7055693864822388,0.25,0.33580693790674165,18.64
6,es,0.7198541164398193,0.0,0.446062421185372,1.44
6,hi,0.9436050653457642,0.0,0.5277628032345013,11.440000000000001
7,ar,0.5674673318862915,0.25,0.18143795745743402,33.839999999999996
7,en,0.511565089225769,0.5,0.11924016843371682,18.4
